"count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1"
"0","22","78","0","0","0","0","100","0","0","0","22","78","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","92","4","0","0","14","86","0","0","0","0","100","0","0","0","9","80","11","0"
"0","22","78","0","0","0","0","100","0","0","0","22","78","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","91","5","0","0","11","89","0","0","0","0","100","0","0","0","9","80","11","0"
"0","22","78","0","0","0","0","100","0","0","0","21","79","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","91","5","0","0","12","88","0","0","0","0","100","0","0","0","9","79","12","0"
"0","21","79","0","0","0","0","100","0","0","0","21","79","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","92","4","0","0","11","89","0","0","0","0","100","0","0","0","9","79","12","0"
"0","20","80","0","0","0","0","100","0","0","0","21","79","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","92","4","0","0","12","88","0","0","0","0","100","0","0","0","7","82","11","0"
"0","19","81","0","0","0","0","100","0","0","0","21","79","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","93","3","0","0","12","88","0","0","0","0","100","0","0","0","7","82","11","0"
"0","18","82","0","0","0","0","100","0","0","0","21","79","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","93","3","0","0","12","88","0","0","0","0","100","0","0","0","8","82","10","0"
"0","17","83","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","93","3","0","0","11","89","0","0","0","0","100","0","0","0","7","83","10","0"
"0","17","83","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","11","89","0","0","0","0","100","0","0","0","6","84","10","0"
"0","16","84","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","11","89","0","0","0","0","100","0","0","0","6","84","10","0"
"0","16","84","0","0","0","0","100","0","0","0","20","80","0","0","0","11","89","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","12","88","0","0","0","0","100","0","0","0","6","83","11","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","13","87","0","0","0","0","100","0","0","0","5","84","11","0"
"0","16","84","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","11","89","0","0","0","0","100","0","0","0","4","85","11","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","95","1","0","0","11","89","0","0","0","0","100","0","0","0","4","85","11","0"
"0","16","84","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","3","97","0","0","0","12","88","0","0","0","0","100","0","0","0","3","87","10","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","3","97","0","0","0","12","88","0","0","0","0","100","0","0","0","3","87","10","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","12","88","0","0","0","0","100","0","0","0","2","88","10","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","12","88","0","0","0","0","100","0","0","0","1","89","10","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","3","97","0","0","0","12","88","0","0","0","0","100","0","0","0","1","89","10","0"
"0","15","85","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","90","10","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","91","9","0"
"0","14","86","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","2","98","0","0","0","11","89","0","0","0","0","100","0","0","0","0","92","8","0"
